object_id,lmax,error
3110,8,4.689960506226701
3110,12,3.5922824659224517
3110,16,2.94974146351499
3110,20,2.642919924488333
3110,24,2.373258993990384
3110,28,2.2145721656062363
3110,32,2.0897022042971383
3110,36,1.9641823353434804
2769,4,7.158680062858623
2769,8,4.5120479048023086
2769,12,3.4220055610055065
2769,16,2.937188001411416
2769,20,2.4926917275288076
2769,24,2.3183727937801453
2769,28,2.125618907804534
2769,32,2.0012905394825573
2769,36,1.8875575794382276
2430,4,8.991492902995642
2430,8,5.666509429159726
2430,12,4.237823481407148
2430,16,3.593514917905164
2430,20,3.194870518019341
2430,24,2.921694466643622
2430,28,2.703328564433633
2430,32,2.5568453961458655
2430,36,2.367379961024168
3588,4,6.55033500961798
3588,8,4.104399499730842
3588,12,3.1862612169731075
3588,16,2.7134729702764835
3588,20,2.411837866214376
3588,24,2.1608446176797647
3588,28,2.0516678407848685
3588,32,1.8961700193765039
3588,36,1.8055538710128487
451,4,6.7126791382664575
451,8,4.058196343387987
451,12,3.1570528932299
451,16,2.6682754094950845
451,20,2.3874453433696585
451,24,2.207278453248311
451,28,2.0233007171332957
451,32,1.898237018369303
451,36,1.8049148332171474
8293,4,7.662899764786827
8293,8,4.576382780579368
8293,12,3.650516714898423
8293,16,3.0892568528354567
8293,20,2.699813149776876
8293,24,2.4735695278620615
8293,28,2.2460265787409384
8293,32,2.1143330805621425
8293,36,2.031486570741652
2303,4,6.313949118967257
2303,8,3.969994282579827
2303,12,3.1195488852303326
2303,16,2.6550182080675673
2303,20,2.342235350199698
2303,24,2.167391665558839
2303,28,1.9983396004660936
2303,32,1.8768855160686246
2303,36,1.7926469796005016
959,4,6.53524188786125
959,8,4.150895330235184
959,12,3.286558970071055
959,16,2.8150786808481154
959,20,2.409428939967725
959,24,2.1897226939620444
959,28,2.004021318125396
959,32,1.9241573536749366
959,36,1.8051151244802006
7281,4,7.846589744277572
7281,8,4.78075308565436
7281,12,3.669309673720019
7281,16,3.0594481671792435
7281,20,2.6796897122539574
7281,24,2.4526493456421967
7281,28,2.2953054349855986
7281,32,2.128412748850833
7281,36,2.0003963081859935
8416,4,5.708442982391598
8416,8,3.7297920213116136
8416,12,2.872191379907491
8416,16,2.454750829157634
8416,20,2.1625378996453377
8416,24,2.0597496029935773
8416,28,1.9011875328167778
8416,32,1.7825501686758995
8416,36,1.6828261793805508
4936,4,7.236490361790941
4936,8,4.425636785594112
4936,12,3.4429315056249368
4936,16,2.9767044883302454
4936,20,2.6319847081841727
4936,24,2.4002910701778135
4936,28,2.1878594286177075
4936,32,2.0918115844508436
4936,36,1.967277669857159
5324,4,8.769181845044276
5324,8,5.445833103834948
5324,12,4.190822583736659
5324,16,3.4482967367912063
5324,20,3.0076322264862894
5324,24,2.785685044250389
5324,28,2.5332179922497264
5324,32,2.3686088713016678
5324,36,2.2691739445830206
8438,4,6.80385124068608
8438,8,4.2613574809641355
8438,12,3.2818303210840747
8438,16,2.797056158490132
8438,20,2.531604895568999
8438,24,2.2280675363587
8438,28,2.0509753709855363
8438,32,1.950620162029873
8438,36,1.8331916713810823
1347,4,7.151517801039314
1347,8,4.409863258492394
1347,12,3.429764610130972
1347,16,2.852746713200207
1347,20,2.5427296985236043
1347,24,2.2889152424620143
1347,28,2.138828149042725
1347,32,1.995214690023327
1347,36,1.8778645910340261
5886,4,6.806679604529563
5886,8,4.139573519121379
5886,12,3.1801481888421153
5886,16,2.7983521669319074
5886,20,2.428558315948236
5886,24,2.212376640313456
5886,28,2.0365670489137155
5886,32,1.927856165142677
5886,36,1.8282183078104934
2810,4,7.380148323471153
2810,8,4.474251310005591
2810,12,3.455874952479367
2810,16,2.919943661663465
2810,20,2.608246593447634
2810,24,2.37054135470491
2810,28,2.1830464400310827
2810,32,2.0481318547423095
2810,36,1.921496998190286
8776,4,6.973473065195285
8776,8,4.177714949384871
8776,12,3.309761541484096
8776,16,2.871334546785726
8776,20,2.445378440416659
8776,24,2.2040741519110636
8776,28,2.0234365992478907
8776,32,1.9161518839069964
8776,36,1.8122142555885057
5119,4,7.08833328144827
5119,8,4.315426373746916
5119,12,3.3152162741420006
5119,16,2.798345713196673
5119,20,2.4328751660948043
5119,24,2.3055575821320184
5119,28,2.1110154888363644
5119,32,1.9812407855341163
5119,36,1.867097380716806
364,4,7.803474363211493
364,8,4.784438329708215
364,12,3.7102646667969514
364,16,3.0893141042703536
364,20,2.71002497136252
364,24,2.46022321318208
364,28,2.2990353907652614
364,32,2.1064555935261953
364,36,2.016853030665109
6592,4,8.378867786575368
6592,8,5.039828100690343
6592,12,3.8437964369166364
6592,16,3.2164866460743236
6592,20,2.8530783537215227
6592,24,2.5216091721372544
6592,28,2.348290294660419
